date,markets_name,total_sales
2017-12-14,Nagpur,133
2017-12-14,Surat,197
2017-12-15,Ahmedabad,238
2017-12-15,Bhopal,65
2017-12-15,"Delhi NCR",1476
2017-12-15,Hyderabad,73
2017-12-15,Kanpur,67
2017-12-15,Kochi,197
2017-12-15,Mumbai,2041
2017-12-15,Nagpur,118
2017-12-16,Ahmedabad,3
2017-12-16,Hyderabad,82
2017-12-18,Ahmedabad,129
2017-12-18,Bhopal,47
2017-12-18,"Delhi NCR",2056
2017-12-18,Hyderabad,14
2017-12-18,Kochi,197
2017-12-18,Mumbai,1125
2017-12-18,Nagpur,262
2017-12-18,Patna,23
2017-12-19,Ahmedabad,52
2017-12-19,Bhopal,175
2017-12-19,"Delhi NCR",1625
2017-12-19,Hyderabad,27
2017-12-19,Kanpur,85
2017-12-19,Kochi,239
2017-12-19,Mumbai,557
2017-12-19,Nagpur,483
2017-12-20,Ahmedabad,299
2017-12-20,Bhopal,671
2017-12-20,"Delhi NCR",2183
2017-12-20,Hyderabad,8
2017-12-20,Kanpur,22
2017-12-20,Kochi,36
2017-12-20,Mumbai,545
2017-12-20,Nagpur,235
2017-12-20,Surat,49
2017-12-21,Ahmedabad,238
2017-12-21,Bhopal,241
2017-12-21,"Delhi NCR",267
2017-12-21,Hyderabad,19
2017-12-21,Kochi,2835
2017-12-21,Mumbai,412
2017-12-21,Nagpur,245
2017-12-21,Patna,55
2017-12-21,Surat,26
2017-12-22,Ahmedabad,198
2017-12-22,Bhopal,59
2017-12-22,"Delhi NCR",2358
2017-12-22,Hyderabad,2053
2017-12-22,Kanpur,62
2017-12-22,Kochi,819
2017-12-22,Mumbai,287
2017-12-22,Nagpur,342
2017-12-25,"Delhi NCR",13
2017-12-25,Nagpur,1
2017-12-26,Ahmedabad,148
2017-12-26,Bhopal,201
2017-12-26,"Delhi NCR",14
2017-12-26,Mumbai,48
2017-12-27,Ahmedabad,288
2017-12-27,Bhopal,71
2017-12-27,Chennai,231
2017-12-27,"Delhi NCR",2520
2017-12-27,Hyderabad,15
2017-12-27,Kochi,336
2017-12-27,Mumbai,495
2017-12-27,Nagpur,202
2017-12-28,Ahmedabad,274
2017-12-28,Bhopal,460
2017-12-28,"Delhi NCR",1794
2017-12-28,Kanpur,14
2017-12-28,Kochi,75
2017-12-28,Mumbai,192
2017-12-28,Nagpur,506
2017-12-28,Patna,10
2017-12-29,Ahmedabad,189
2017-12-29,Bhopal,149
2017-12-29,Bhubaneshwar,379
2017-12-29,"Delhi NCR",1733
2017-12-29,Hyderabad,21
2017-12-29,Kochi,197
2017-12-29,Mumbai,188
2017-12-29,Nagpur,251
2018-01-01,Nagpur,23
2018-01-02,Ahmedabad,89
2018-01-02,Bhopal,247
2018-01-02,"Delhi NCR",1967
2018-01-02,Hyderabad,42
2018-01-02,Kanpur,8
2018-01-02,Kochi,16
2018-01-02,Mumbai,444
2018-01-02,Nagpur,485
2018-01-03,Ahmedabad,310
2018-01-03,Bhopal,19
2018-01-03,"Delhi NCR",1263
2018-01-03,Hyderabad,75
2018-01-03,Kanpur,72
2018-01-03,Kochi,320
2018-01-03,Mumbai,658
2018-01-03,Nagpur,384
2018-01-03,Patna,5
2018-01-04,Ahmedabad,238
2018-01-04,Bhopal,77
2018-01-04,Chennai,429
2018-01-04,"Delhi NCR",1355
2018-01-04,Hyderabad,1
2018-01-04,Kanpur,37
2018-01-04,Kochi,406
2018-01-04,Mumbai,3209
2018-01-04,Nagpur,135
2018-01-05,Ahmedabad,273
2018-01-05,Bhopal,93
2018-01-05,Chennai,1003
2018-01-05,"Delhi NCR",480
2018-01-05,Hyderabad,107
2018-01-05,Kanpur,7
2018-01-05,Kochi,57
2018-01-05,Mumbai,504
2018-01-05,Nagpur,623
2018-01-05,Surat,36
2018-01-07,Nagpur,8
2018-01-08,Ahmedabad,174
2018-01-08,Bhopal,8
2018-01-08,"Delhi NCR",1455
2018-01-08,Hyderabad,361
2018-01-08,Kanpur,6
2018-01-08,Kochi,55
2018-01-08,Mumbai,434
2018-01-08,Nagpur,620
2018-01-08,Patna,269
2018-01-09,Ahmedabad,49
2018-01-09,Bhopal,270
2018-01-09,"Delhi NCR",1368
2018-01-09,Hyderabad,3
2018-01-09,Kanpur,55
2018-01-09,Kochi,135
2018-01-09,Mumbai,360
2018-01-09,Nagpur,412
2018-01-10,Ahmedabad,347
2018-01-10,Bhopal,41
2018-01-10,Chennai,197
2018-01-10,"Delhi NCR",360
2018-01-10,Kochi,275
2018-01-10,Mumbai,264
2018-01-10,Nagpur,996
2018-01-10,Patna,15
2018-01-11,Ahmedabad,583
2018-01-11,Bhopal,119
2018-01-11,"Delhi NCR",435
2018-01-11,Hyderabad,4
2018-01-11,Kochi,121
2018-01-11,Mumbai,529
2018-01-11,Nagpur,196
2018-01-12,Ahmedabad,354
2018-01-12,Bhopal,233
2018-01-12,Chennai,700
2018-01-12,"Delhi NCR",1518
2018-01-12,Hyderabad,453
2018-01-12,Kanpur,54
2018-01-12,Kochi,355
2018-01-12,Mumbai,278
2018-01-12,Nagpur,147
2018-01-15,Ahmedabad,108
2018-01-15,Bhopal,44
2018-01-15,Chennai,399
2018-01-15,"Delhi NCR",2914
2018-01-15,Hyderabad,17
2018-01-15,Kanpur,7
2018-01-15,Kochi,84
2018-01-15,Mumbai,107
2018-01-15,Nagpur,214
2018-01-16,Ahmedabad,78
2018-01-16,Bhopal,264
2018-01-16,Bhubaneshwar,638
2018-01-16,"Delhi NCR",2267
2018-01-16,Hyderabad,50
2018-01-16,Kochi,64
2018-01-16,Mumbai,83
2018-01-16,Nagpur,193
2018-01-17,Ahmedabad,525
2018-01-17,Bhopal,104
2018-01-17,"Delhi NCR",1376
2018-01-17,Hyderabad,79
2018-01-17,Kanpur,15
2018-01-17,Kochi,130
2018-01-17,Mumbai,118
2018-01-17,Nagpur,122
2018-01-17,Surat,567
2018-01-18,Ahmedabad,213
2018-01-18,Bhopal,136
2018-01-18,"Delhi NCR",693
2018-01-18,Hyderabad,103
2018-01-18,Kanpur,15
2018-01-18,Kochi,162
2018-01-18,Mumbai,588
2018-01-18,Nagpur,292
2018-01-18,Patna,3
2018-01-19,Ahmedabad,259
2018-01-19,Bhopal,75
2018-01-19,"Delhi NCR",2970
2018-01-19,Hyderabad,192
2018-01-19,Kanpur,55
2018-01-19,Kochi,174
2018-01-19,Mumbai,1098
2018-01-19,Nagpur,352
2018-01-21,Nagpur,28
2018-01-22,Ahmedabad,62
2018-01-22,Bhopal,42
2018-01-22,"Delhi NCR",2420
2018-01-22,Hyderabad,10
2018-01-22,Kochi,147
2018-01-22,Mumbai,92
2018-01-22,Nagpur,651
2018-01-23,Ahmedabad,68
2018-01-23,Bhopal,92
2018-01-23,"Delhi NCR",1307
2018-01-23,Hyderabad,5
2018-01-23,Kanpur,447
2018-01-23,Kochi,23
2018-01-23,Lucknow,127
2018-01-23,Mumbai,209
2018-01-23,Nagpur,312
2018-01-23,Patna,23
2018-01-23,Surat,97
2018-01-24,Ahmedabad,270
2018-01-24,Bhopal,201
2018-01-24,"Delhi NCR",1648
2018-01-24,Hyderabad,7
2018-01-24,Kochi,946
2018-01-24,Mumbai,166
2018-01-24,Nagpur,343
2018-01-25,Ahmedabad,351
2018-01-25,Bhopal,128
2018-01-25,"Delhi NCR",925
2018-01-25,Hyderabad,112
2018-01-25,Kochi,76
2018-01-25,Mumbai,87
2018-01-25,Nagpur,112
2018-01-26,Ahmedabad,203
2018-01-26,Bhopal,96
2018-01-26,Chennai,251
2018-01-26,"Delhi NCR",1180
2018-01-26,Hyderabad,127
2018-01-26,Kanpur,54
2018-01-26,Kochi,228
2018-01-26,Mumbai,268
2018-01-26,Nagpur,509
2018-01-26,Patna,12
2018-01-29,Ahmedabad,121
2018-01-29,Bhopal,1562
2018-01-29,"Delhi NCR",1412
2018-01-29,Hyderabad,53
2018-01-29,Kanpur,21
2018-01-29,Kochi,14
2018-01-29,Mumbai,734
2018-01-29,Nagpur,190
2018-01-29,Patna,23
2018-01-30,Ahmedabad,40
2018-01-30,Bhopal,734
2018-01-30,Chennai,233
2018-01-30,"Delhi NCR",5174
2018-01-30,Hyderabad,10
2018-01-30,Kanpur,61
2018-01-30,Kochi,114
2018-01-30,Mumbai,243
2018-01-30,Nagpur,308
2018-01-30,Patna,18
2018-01-31,Ahmedabad,8956
2018-01-31,Bhopal,36
2018-01-31,"Delhi NCR",2297
2018-01-31,Hyderabad,69
2018-01-31,Kanpur,11
2018-01-31,Kochi,1992
2018-01-31,Mumbai,519
2018-01-31,Nagpur,311
2018-01-31,Surat,95
2018-02-01,Ahmedabad,136
2018-02-01,Bhopal,154
2018-02-01,"Delhi NCR",1176
2018-02-01,Hyderabad,101
2018-02-01,Kanpur,7
2018-02-01,Kochi,301
2018-02-01,Mumbai,1315
2018-02-01,Nagpur,227
2018-02-02,Ahmedabad,398
2018-02-02,Bhopal,238
2018-02-02,Chennai,360
2018-02-02,"Delhi NCR",659
2018-02-02,Hyderabad,55
2018-02-02,Kanpur,46
2018-02-02,Kochi,149
2018-02-02,Mumbai,810
2018-02-02,Nagpur,497
2018-02-03,Ahmedabad,5
2018-02-05,Ahmedabad,190
2018-02-05,Bhopal,9
2018-02-05,"Delhi NCR",1796
2018-02-05,Hyderabad,101
2018-02-05,Kanpur,22
2018-02-05,Kochi,280
2018-02-05,Mumbai,45
2018-02-05,Nagpur,501
2018-02-05,Patna,23
2018-02-06,Ahmedabad,66
2018-02-06,Bhopal,72
2018-02-06,"Delhi NCR",1077
2018-02-06,Hyderabad,122
2018-02-06,Kanpur,13
2018-02-06,Kochi,393
2018-02-06,Mumbai,1226
2018-02-06,Nagpur,737
2018-02-06,Surat,83
2018-02-07,Ahmedabad,278
2018-02-07,Bhopal,113
2018-02-07,"Delhi NCR",1392
2018-02-07,Hyderabad,18
2018-02-07,Kochi,37
2018-02-07,Mumbai,172
2018-02-07,Nagpur,193
2018-02-08,Ahmedabad,337
2018-02-08,Bhopal,84
2018-02-08,Chennai,196
2018-02-08,"Delhi NCR",1148
2018-02-08,Hyderabad,27
2018-02-08,Kanpur,20
2018-02-08,Kochi,82
2018-02-08,Mumbai,13512
2018-02-08,Nagpur,664
2018-02-09,Ahmedabad,373
2018-02-09,Bhopal,56
2018-02-09,"Delhi NCR",1362
2018-02-09,Hyderabad,221
2018-02-09,Kanpur,44
2018-02-09,Kochi,182
2018-02-09,Mumbai,265
2018-02-09,Nagpur,399
2018-02-12,Ahmedabad,159
2018-02-12,Bhopal,61
2018-02-12,Chennai,612
2018-02-12,"Delhi NCR",1859
2018-02-12,Hyderabad,4
2018-02-12,Kanpur,8
2018-02-12,Kochi,243
2018-02-12,Lucknow,356
2018-02-12,Mumbai,1956
2018-02-12,Nagpur,193
2018-02-12,Patna,109
2018-02-13,Ahmedabad,127
2018-02-13,Bhopal,48
2018-02-13,Chennai,537
2018-02-13,"Delhi NCR",1032
2018-02-13,Hyderabad,14
2018-02-13,Kanpur,7
2018-02-13,Kochi,143
2018-02-13,Mumbai,119
2018-02-13,Nagpur,221
2018-02-14,Ahmedabad,422
2018-02-14,Bhopal,90
2018-02-14,"Delhi NCR",1309
2018-02-14,Hyderabad,118
2018-02-14,Kanpur,14
2018-02-14,Kochi,502
2018-02-14,Mumbai,808
2018-02-14,Nagpur,177
2018-02-14,Surat,408
2018-02-15,Ahmedabad,152
2018-02-15,Bhopal,672
2018-02-15,"Delhi NCR",2164
2018-02-15,Hyderabad,35
2018-02-15,Kanpur,4
2018-02-15,Kochi,77
2018-02-15,Mumbai,591
2018-02-15,Nagpur,302
2018-02-16,Ahmedabad,4755
2018-02-16,Bhopal,66
2018-02-16,"Delhi NCR",2540
2018-02-16,Hyderabad,52
2018-02-16,Kanpur,44
2018-02-16,Kochi,192
2018-02-16,Lucknow,30
2018-02-16,Mumbai,243
2018-02-16,Nagpur,55
2018-02-16,Patna,104
2018-02-18,Ahmedabad,10
2018-02-19,Ahmedabad,185
2018-02-19,Bhopal,65
2018-02-19,"Delhi NCR",687
2018-02-19,Hyderabad,21
2018-02-19,Kanpur,2
2018-02-19,Kochi,15
2018-02-19,Mumbai,192
2018-02-19,Nagpur,163
2018-02-20,Ahmedabad,102
2018-02-20,Bhopal,49
2018-02-20,"Delhi NCR",2165
2018-02-20,Hyderabad,46
2018-02-20,Kanpur,7
2018-02-20,Kochi,175
2018-02-20,Mumbai,728
2018-02-20,Nagpur,203
2018-02-21,Ahmedabad,320
2018-02-21,Bhopal,197
2018-02-21,Bhubaneshwar,606
2018-02-21,Chennai,651
2018-02-21,"Delhi NCR",658
2018-02-21,Kochi,185
2018-02-21,Mumbai,557
2018-02-21,Nagpur,405
2018-02-21,Patna,54
2018-02-22,Ahmedabad,536
2018-02-22,Bhopal,211
2018-02-22,Chennai,617
2018-02-22,"Delhi NCR",905
2018-02-22,Hyderabad,42
2018-02-22,Kanpur,15
2018-02-22,Kochi,596
2018-02-22,Mumbai,466
2018-02-22,Nagpur,152
2018-02-22,Surat,132
2018-02-23,Ahmedabad,296
2018-02-23,Bhopal,1852
2018-02-23,"Delhi NCR",653
2018-02-23,Hyderabad,221
2018-02-23,Kanpur,41
2018-02-23,Kochi,193
2018-02-23,Mumbai,151
2018-02-23,Nagpur,197
2018-02-26,Ahmedabad,104
2018-02-26,Bhopal,54
2018-02-26,"Delhi NCR",992
2018-02-26,Hyderabad,8
2018-02-26,Kanpur,5
2018-02-26,Kochi,90
2018-02-26,Mumbai,412
2018-02-26,Nagpur,565
2018-02-26,Patna,3
2018-02-27,Ahmedabad,98
2018-02-27,Bhopal,198
2018-02-27,"Delhi NCR",1751
2018-02-27,Hyderabad,157
2018-02-27,Kanpur,5
2018-02-27,Kochi,2462
2018-02-27,Mumbai,418
2018-02-27,Nagpur,186
2018-02-27,Patna,23
2018-02-28,Ahmedabad,265
2018-02-28,Bhopal,122
2018-02-28,"Delhi NCR",3768
2018-02-28,Hyderabad,399
2018-02-28,Kanpur,13
2018-02-28,Kochi,282
2018-02-28,Mumbai,796
2018-02-28,Nagpur,256
2018-02-28,Patna,5
2018-02-28,Surat,123
2018-03-01,Ahmedabad,177
2018-03-01,Bhopal,108
2018-03-01,"Delhi NCR",139
2018-03-01,Hyderabad,147
2018-03-01,Kochi,86
2018-03-01,Mumbai,184
2018-03-01,Nagpur,248
